Name,Team,Number,Position,Age
Pablo Prigioni,Los Angeles Clippers,9.0,PG,39.0
JJ Redick,Los Angeles Clippers,4.0,SG,31.0
Austin Rivers,Los Angeles Clippers,25.0,PG,23.0
C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0
Brandon Bass,Los Angeles Lakers,2.0,PF,31.0
Tarik Black,Los Angeles Lakers,28.0,C,24.0
Anthony Brown,Los Angeles Lakers,3.0,SF,23.0
Kobe Bryant,Los Angeles Lakers,24.0,SF,37.0
Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0
Roy Hibbert,Los Angeles Lakers,17.0,C,29.0
Marcelo Huertas,Los Angeles Lakers,9.0,PG,33.0
Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0
Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0
Julius Randle,Los Angeles Lakers,30.0,PF,21.0
D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0
Robert Sacre,Los Angeles Lakers,50.0,C,27.0
Louis Williams,Los Angeles Lakers,23.0,SG,29.0
Metta World Peace,Los Angeles Lakers,37.0,SF,36.0
Nick Young,Los Angeles Lakers,0.0,SF,31.0
Eric Bledsoe,Phoenix Suns,2.0,PG,26.0
Devin Booker,Phoenix Suns,1.0,SG,19.0
Chase Budinger,Phoenix Suns,10.0,SF,28.0
Tyson Chandler,Phoenix Suns,4.0,C,33.0
Archie Goodwin,Phoenix Suns,20.0,SG,21.0
John Jenkins,Phoenix Suns,23.0,SG,25.0
Brandon Knight,Phoenix Suns,3.0,PG,24.0
Alex Len,Phoenix Suns,21.0,C,22.0
Jon Leuer,Phoenix Suns,30.0,PF,27.0
Phil Pressey,Phoenix Suns,25.0,PG,25.0
Ronnie Price,Phoenix Suns,14.0,PG,32.0
Mirza Teletovic,Phoenix Suns,35.0,PF,30.0
P.J. Tucker,Phoenix Suns,17.0,SF,31.0
T.J. Warren,Phoenix Suns,12.0,SF,22.0
Alan Williams,Phoenix Suns,15.0,C,23.0
Quincy Acy,Sacramento Kings,13.0,SF,25.0
James Anderson,Sacramento Kings,5.0,SG,27.0
Marco Belinelli,Sacramento Kings,3.0,SG,30.0
Caron Butler,Sacramento Kings,31.0,SF,36.0
Omri Casspi,Sacramento Kings,18.0,SF,27.0
Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0
Darren Collison,Sacramento Kings,7.0,PG,28.0
DeMarcus Cousins,Sacramento Kings,15.0,C,25.0
Seth Curry,Sacramento Kings,30.0,SG,25.0
Duje Dukan,Sacramento Kings,26.0,PF,24.0
Rudy Gay,Sacramento Kings,8.0,SF,29.0
Kosta Koufos,Sacramento Kings,41.0,C,27.0
Ben McLemore,Sacramento Kings,23.0,SG,23.0
Eric Moreland,Sacramento Kings,25.0,PF,24.0
Rajon Rondo,Sacramento Kings,9.0,PG,30.0
Cameron Bairstow,Chicago Bulls,41.0,PF,25.0
Aaron Brooks,Chicago Bulls,0.0,PG,31.0
Jimmy Butler,Chicago Bulls,21.0,SG,26.0
Mike Dunleavy,Chicago Bulls,34.0,SG,35.0
Cristiano Felicio,Chicago Bulls,6.0,PF,23.0
Pau Gasol,Chicago Bulls,16.0,C,35.0
Taj Gibson,Chicago Bulls,22.0,PF,30.0
Justin Holiday,Chicago Bulls,7.0,SG,27.0
Doug McDermott,Chicago Bulls,3.0,SF,24.0
Nikola Mirotic,Chicago Bulls,44.0,PF,25.0
E'Twaun Moore,Chicago Bulls,55.0,SG,27.0
Joakim Noah,Chicago Bulls,13.0,C,31.0
Bobby Portis,Chicago Bulls,5.0,PF,21.0
Derrick Rose,Chicago Bulls,1.0,PG,27.0
Tony Snell,Chicago Bulls,20.0,SF,24.0
Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0
Channing Frye,Cleveland Cavaliers,9.0,PF,33.0
Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0
LeBron James,Cleveland Cavaliers,23.0,SF,31.0
Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0
Dahntay Jones,Cleveland Cavaliers,30.0,SG,35.0
James Jones,Cleveland Cavaliers,1.0,SG,35.0
Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0
Kevin Love,Cleveland Cavaliers,0.0,PF,27.0
Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0
Timofey Mozgov,Cleveland Cavaliers,20.0,C,29.0
Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0
J.R. Smith,Cleveland Cavaliers,5.0,SG,30.0
Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0
Mo Williams,Cleveland Cavaliers,52.0,PG,33.0
Joel Anthony,Detroit Pistons,50.0,C,33.0
Aron Baynes,Detroit Pistons,12.0,C,29.0
Steve Blake,Detroit Pistons,22.0,PG,36.0
Lorenzo Brown,Detroit Pistons,17.0,PG,25.0
Reggie Bullock,Detroit Pistons,25.0,SF,25.0
Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0
Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0
Andre Drummond,Detroit Pistons,0.0,C,22.0
Tobias Harris,Detroit Pistons,34.0,SF,23.0
Darrun Hilliard,Detroit Pistons,6.0,SF,23.0
Reggie Jackson,Detroit Pistons,1.0,PG,26.0
Stanley Johnson,Detroit Pistons,3.0,SF,20.0
Jodie Meeks,Detroit Pistons,20.0,SG,28.0
Marcus Morris,Detroit Pistons,13.0,PF,26.0
Anthony Tolliver,Detroit Pistons,43.0,PF,31.0
Lavoy Allen,Indiana Pacers,5.0,PF,27.0
Rakeem Christmas,Indiana Pacers,25.0,PF,24.0
Monta Ellis,Indiana Pacers,11.0,SG,30.0
Paul George,Indiana Pacers,13.0,SF,26.0
George Hill,Indiana Pacers,3.0,PG,30.0
Jordan Hill,Indiana Pacers,27.0,C,28.0
Solomon Hill,Indiana Pacers,44.0,SF,25.0
Ty Lawson,Indiana Pacers,10.0,PG,28.0
Ian Mahinmi,Indiana Pacers,28.0,C,29.0
C.J. Miles,Indiana Pacers,0.0,SF,29.0
Glenn Robinson III,Indiana Pacers,40.0,SG,22.0
Rodney Stuckey,Indiana Pacers,2.0,PG,30.0
Myles Turner,Indiana Pacers,33.0,PF,20.0
Shayne Whittington,Indiana Pacers,42.0,PF,25.0
Joe Young,Indiana Pacers,1.0,PG,23.0
Giannis Antetokounmpo,Milwaukee Bucks,34.0,SF,21.0
Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0
Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0
Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0
Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0
John Henson,Milwaukee Bucks,31.0,PF,25.0
Damien Inglis,Milwaukee Bucks,17.0,SF,21.0
O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0
Khris Middleton,Milwaukee Bucks,22.0,SG,24.0
Greg Monroe,Milwaukee Bucks,15.0,C,26.0
Steve Novak,Milwaukee Bucks,6.0,SF,32.0
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0
Jabari Parker,Milwaukee Bucks,12.0,PF,21.0
Miles Plumlee,Milwaukee Bucks,18.0,C,27.0
Greivis Vasquez,Milwaukee Bucks,21.0,PG,29.0
Rashad Vaughn,Milwaukee Bucks,20.0,SG,19.0
Justin Anderson,Dallas Mavericks,1.0,SG,22.0
J.J. Barea,Dallas Mavericks,5.0,PG,31.0
Jeremy Evans,Dallas Mavericks,21.0,SF,28.0
Raymond Felton,Dallas Mavericks,2.0,PG,31.0
Devin Harris,Dallas Mavericks,34.0,PG,33.0
David Lee,Dallas Mavericks,42.0,PF,33.0
Wesley Matthews,Dallas Mavericks,23.0,SG,29.0
JaVale McGee,Dallas Mavericks,11.0,C,28.0
Salah Mejri,Dallas Mavericks,50.0,C,29.0
Dirk Nowitzki,Dallas Mavericks,41.0,PF,37.0
Zaza Pachulia,Dallas Mavericks,27.0,C,32.0
Chandler Parsons,Dallas Mavericks,25.0,SF,27.0
Dwight Powell,Dallas Mavericks,7.0,PF,24.0
Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0
Deron Williams,Dallas Mavericks,8.0,PG,31.0
Trevor Ariza,Houston Rockets,1.0,SF,30.0
Michael Beasley,Houston Rockets,8.0,SF,27.0
Patrick Beverley,Houston Rockets,2.0,PG,27.0
Corey Brewer,Houston Rockets,33.0,SG,30.0
Clint Capela,Houston Rockets,15.0,PF,22.0
